epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,10139,0.81286,0.43762,1.11595,0.97589,0.98926,0.99313,0.76575,0.8497,0.34818,1.14094,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10275.2,0.81102,0.43509,1.11852,0.98266,0.98883,0.99409,0.76635,0.85782,0.3534,1.14584,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10411.3,0.81805,0.44207,1.11721,0.98169,0.98792,0.99364,0.76421,0.86141,0.35087,1.14213,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10546.7,0.80528,0.43205,1.10377,0.98232,0.98792,0.99323,0.76564,0.85131,0.34248,1.14421,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10682.7,0.81786,0.44334,1.11002,0.98264,0.98778,0.9935,0.76943,0.85535,0.34653,1.14137,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10818.9,0.76907,0.41857,1.09915,0.98711,0.98658,0.99377,0.76672,0.85744,0.34365,1.14511,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10954.3,0.79564,0.42779,1.10049,0.98741,0.98658,0.99414,0.76547,0.85465,0.34337,1.14248,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11090.7,0.78724,0.42293,1.10349,0.98798,0.98658,0.99423,0.76992,0.84423,0.33723,1.14416,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11227.1,0.78945,0.42004,1.09657,0.98531,0.99008,0.99369,0.76474,0.85562,0.34455,1.14479,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11363.3,0.78324,0.42115,1.0902,0.98005,0.9893,0.99365,0.76368,0.85645,0.34535,1.15029,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11500.9,0.79452,0.42183,1.10122,0.98264,0.98764,0.99378,0.76212,0.86221,0.34816,1.14893,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11637.1,0.77233,0.42263,1.09715,0.98399,0.99195,0.99402,0.76675,0.85103,0.34246,1.14153,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11774.6,0.76994,0.4103,1.0829,0.98462,0.98389,0.99369,0.7695,0.84961,0.34018,1.1443,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11914.4,0.77385,0.40864,1.09128,0.98495,0.98792,0.99352,0.76569,0.84976,0.34125,1.14143,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12050.6,0.77805,0.40702,1.09101,0.97622,0.99176,0.99337,0.76977,0.84729,0.3398,1.13579,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12187.9,0.74658,0.39588,1.07478,0.9827,0.98792,0.99367,0.77128,0.84548,0.33489,1.13575,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12324.9,0.74327,0.39459,1.07589,0.98008,0.99049,0.99328,0.767,0.85079,0.33481,1.13514,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12460.9,0.74357,0.39324,1.0741,0.98173,0.98792,0.99329,0.76507,0.85073,0.33079,1.13692,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12597.7,0.75945,0.39862,1.07022,0.97835,0.9906,0.99349,0.76924,0.85014,0.3316,1.13968,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12732.4,0.74238,0.394,1.07425,0.98008,0.99048,0.99333,0.76876,0.84699,0.33102,1.13669,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12867.7,0.72908,0.38384,1.07468,0.97904,0.98926,0.99347,0.7683,0.84543,0.33192,1.13783,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13003.6,0.72087,0.37878,1.06012,0.9801,0.99172,0.99369,0.77182,0.84427,0.33223,1.13805,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13140.6,0.71859,0.37604,1.06302,0.98271,0.98792,0.99395,0.76984,0.84827,0.33127,1.1424,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13283.8,0.73651,0.38186,1.05809,0.98624,0.98792,0.99411,0.76779,0.85025,0.33035,1.14591,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13418.7,0.73254,0.3788,1.05852,0.9866,0.98809,0.99427,0.76965,0.84756,0.32716,1.14228,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13555.5,0.72362,0.38204,1.05662,0.9831,0.98523,0.99419,0.76822,0.84774,0.3265,1.14173,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13691.8,0.69967,0.3611,1.05795,0.9861,0.98523,0.99395,0.76786,0.85071,0.3289,1.14208,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13827.6,0.71488,0.3712,1.05973,0.98055,0.99329,0.99436,0.7686,0.84845,0.33045,1.14192,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13964.2,0.70308,0.36157,1.0471,0.98053,0.99463,0.99433,0.76941,0.84784,0.32891,1.14216,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14099.8,0.69244,0.36273,1.04362,0.98007,0.99329,0.99418,0.76935,0.84834,0.32747,1.14396,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14235.9,0.69403,0.35814,1.04029,0.98511,0.98792,0.99424,0.76962,0.84922,0.3274,1.1442,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14372.9,0.68401,0.35608,1.04521,0.98399,0.98973,0.99425,0.76671,0.8505,0.32495,1.14514,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14516.3,0.68604,0.36047,1.03992,0.98528,0.988,0.99418,0.76902,0.84942,0.32443,1.14606,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14654,0.68592,0.35213,1.03476,0.98564,0.98926,0.99424,0.76604,0.85069,0.32391,1.14795,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14788.4,0.69444,0.35056,1.03315,0.98426,0.9906,0.99432,0.76766,0.85126,0.32433,1.14865,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14923.3,0.68065,0.34812,1.04014,0.98663,0.99052,0.99429,0.76649,0.8509,0.3232,1.1493,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15059.4,0.67604,0.34223,1.02672,0.98532,0.99108,0.99421,0.76567,0.85101,0.3229,1.1484,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15195.9,0.67507,0.3429,1.03456,0.98584,0.9906,0.99415,0.76688,0.85152,0.32407,1.14949,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
